Year,Amount,Type of good
,,"Mail, parcels"
2012,"8,589","Mail, parcels"
,,"Mail, parcels"
2013,"2,224","Mail, parcels"
,,"Mail, parcels"
2014,"2,996","Mail, parcels"
,,"Mail, parcels"
2015,"3,174","Mail, parcels"
,,"Mail, parcels"
2016,"3,320","Mail, parcels"
,,"Mail, parcels"
2017,"2,950","Mail, parcels"
,,"Mail, parcels"
2018,"3,902","Mail, parcels"
,,"Mail, parcels"
2019,"3,959","Mail, parcels"
,,"Mail, parcels"
2020,"4,643","Mail, parcels"
,,"Mail, parcels"
2021,"6,044","Mail, parcels"
,,"Mail, parcels"
2022,"6,513","Mail, parcels"
,,"Mail, parcels"
2008,"18,513",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2009,"16,433",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2010,"17,451",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2011,"18,414",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2012,"18,130",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2013,"31,469",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2014,"34,943",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2015,"35,350",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2016,"38,330",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2017,"39,235",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2018,"35,859",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2019,"37,901",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2020,"39,561",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2021,"42,903",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2022,"43,777",Equipment and material utilized in the transport of goods
,,Equipment and material utilized in the transport of goods
2008,"9,816",Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2009,"10,436",Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2010,547,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2011,434,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2012,400,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2013,485,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2014,463,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2015,680,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2016,527,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2017,560,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2018,571,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2019,755,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2020,531,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2021,593,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2022,443,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
,,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
2008,"51,823",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2009,"46,191",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2010,"57,374",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2011,"50,344",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2012,"50,001",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2013,"51,566",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2014,"53,705",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2015,"46,621",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2016,"48,399",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2017,"55,520",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2018,"66,832",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2019,"65,168",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2020,"64,955",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2021,"66,635",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2022,"70,643",Grouped goods0 a mixture of types of goods which are transported together
,,Grouped goods: a mixture of types of goods which are transported together
2008,985,Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2009,863,Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2010,"17,930",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2011,"22,110",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2012,"13,275",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2013,"18,507",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2014,"11,938",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2015,"16,231",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2016,"13,705",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2017,"11,230",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2018,"10,980",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2019,"11,842",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2020,"11,816",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2021,"6,883",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2022,"11,350",Unidentifiable goods0 goods which for any reason cannot be identified
,,Unidentifiable goods: goods which for any reason cannot be identified
2008,"8,123",Other goods n.e.c.
,,Other goods n.e.c.
2009,"6,372",Other goods n.e.c.
,,Other goods n.e.c.
2010,0,Other goods n.e.c.
,,Other goods n.e.c.
2011,0,Other goods n.e.c.
,,Other goods n.e.c.
